Path,Algorithm,K,DatasetSize,TrainingSize,Correct,TestSize,Accuracy,TrainingTime,TestTime
../data/data.three_gauss.train.100.csv,KNN.MeanKnn,20,300,100,187,200,0.935,00:0021526,00:0125819
../data/data.three_gauss.train.100.csv,KNN.SimpleSolver,20,300,100,183,200,0.915,00:0003690,00:0068318
../data/data.three_gauss.train.100.csv,KNN.MeanKnn,20,300,100,187,200,0.935,00:0000382,00:0054563
../data/data.three_gauss.train.100.csv,KNN.SimpleSolver,20,300,100,182,200,0.91,00:0000080,00:0054737
../data/data.three_gauss.train.100.csv,KNN.MeanKnn,20,300,100,186,200,0.93,00:0000313,00:0055525
../data/data.three_gauss.train.100.csv,KNN.SimpleSolver,20,300,100,186,200,0.93,00:0000051,00:0055557
../data/data.three_gauss.train.100.csv,KNN.MeanKnn,20,300,100,181,200,0.905,00:0000317,00:0054226
../data/data.three_gauss.train.100.csv,KNN.SimpleSolver,20,300,100,183,200,0.915,00:0000072,00:0054851
../data/data.three_gauss.train.100.csv,KNN.MeanKnn,20,300,100,181,200,0.905,00:0000299,00:0055816
../data/data.three_gauss.train.100.csv,KNN.SimpleSolver,20,300,100,183,200,0.915,00:0000054,00:0055193
../data/data.three_gauss.train.100.csv,KNN.MeanKnn,20,300,100,180,200,0.9,00:0000302,00:0056896
../data/data.three_gauss.train.100.csv,KNN.SimpleSolver,20,300,100,181,200,0.905,00:0000051,00:0059565
../data/data.three_gauss.train.100.csv,KNN.MeanKnn,20,300,100,186,200,0.93,00:0000309,00:0053950
../data/data.three_gauss.train.100.csv,KNN.SimpleSolver,20,300,100,187,200,0.935,00:0000047,00:0055667
../data/data.three_gauss.train.100.csv,KNN.MeanKnn,20,300,100,186,200,0.93,00:0000302,00:0053782
../data/data.three_gauss.train.100.csv,KNN.SimpleSolver,20,300,100,186,200,0.93,00:0000047,00:0053315
../data/data.three_gauss.train.100.csv,KNN.MeanKnn,20,300,100,186,200,0.93,00:0000295,00:0054121
../data/data.three_gauss.train.100.csv,KNN.SimpleSolver,20,300,100,186,200,0.93,00:0000043,00:0053279
../data/data.three_gauss.train.100.csv,KNN.MeanKnn,20,300,100,180,200,0.9,00:0000313,00:0053869
../data/data.three_gauss.train.100.csv,KNN.SimpleSolver,20,300,100,179,200,0.895,00:0000047,00:0055080
../data/data.three_gauss.train.100.csv,KNN.MeanKnn,20,300,100,186,200,0.93,00:0000317,00:0053176
../data/data.three_gauss.train.100.csv,KNN.SimpleSolver,20,300,100,186,200,0.93,00:0000051,00:0054394
../data/data.three_gauss.train.100.csv,KNN.MeanKnn,20,300,100,186,200,0.93,00:0000302,00:0059070
../data/data.three_gauss.train.100.csv,KNN.SimpleSolver,20,300,100,186,200,0.93,00:0000051,00:0056265
../data/data.three_gauss.train.100.csv,KNN.MeanKnn,20,300,100,188,200,0.94,00:0000313,00:0055438
../data/data.three_gauss.train.100.csv,KNN.SimpleSolver,20,300,100,187,200,0.935,00:0000051,00:0056294
../data/data.three_gauss.train.100.csv,KNN.MeanKnn,20,300,100,181,200,0.905,00:0000317,00:0053982
../data/data.three_gauss.train.100.csv,KNN.SimpleSolver,20,300,100,182,200,0.91,00:0000054,00:0055704
../data/data.three_gauss.train.100.csv,KNN.MeanKnn,20,300,100,182,200,0.91,00:0000317,00:0056414
../data/data.three_gauss.train.100.csv,KNN.SimpleSolver,20,300,100,182,200,0.91,00:0000058,00:0055590
../data/data.three_gauss.train.100.csv,KNN.MeanKnn,20,300,100,182,200,0.91,00:0000324,00:0054588
../data/data.three_gauss.train.100.csv,KNN.SimpleSolver,20,300,100,182,200,0.91,00:0000051,00:0056779
../data/data.three_gauss.train.100.csv,KNN.MeanKnn,20,300,100,187,200,0.935,00:0000306,00:0054588
../data/data.three_gauss.train.100.csv,KNN.SimpleSolver,20,300,100,189,200,0.945,00:0000051,00:0052895
../data/data.three_gauss.train.100.csv,KNN.MeanKnn,20,300,100,185,200,0.925,00:0000295,00:0055510
../data/data.three_gauss.train.100.csv,KNN.SimpleSolver,20,300,100,185,200,0.925,00:0000058,00:0054230
../data/data.three_gauss.train.100.csv,KNN.MeanKnn,20,300,100,185,200,0.925,00:0000324,00:0055616
../data/data.three_gauss.train.100.csv,KNN.SimpleSolver,20,300,100,185,200,0.925,00:0000051,00:0054529
../data/data.three_gauss.train.100.csv,KNN.MeanKnn,20,300,100,185,200,0.925,00:0000313,00:0053414
../data/data.three_gauss.train.100.csv,KNN.SimpleSolver,20,300,100,185,200,0.925,00:0000047,00:0053949
../data/data.three_gauss.train.100.csv,KNN.MeanKnn,20,300,100,181,200,0.905,00:0000313,00:0054358
../data/data.three_gauss.train.100.csv,KNN.SimpleSolver,20,300,100,183,200,0.915,00:0000047,00:0054861
../data/data.three_gauss.train.100.csv,KNN.MeanKnn,20,300,100,185,200,0.925,00:0000306,00:0053395
../data/data.three_gauss.train.100.csv,KNN.SimpleSolver,20,300,100,189,200,0.945,00:0000047,00:0057651
../data/data.three_gauss.train.100.csv,KNN.MeanKnn,20,300,100,185,200,0.925,00:0000313,00:0054898
../data/data.three_gauss.train.100.csv,KNN.SimpleSolver,20,300,100,189,200,0.945,00:0000043,00:0053983
../data/data.three_gauss.train.100.csv,KNN.MeanKnn,20,300,100,185,200,0.925,00:0000299,00:0054182
../data/data.three_gauss.train.100.csv,KNN.SimpleSolver,20,300,100,182,200,0.91,00:0000047,00:0058778
