Path,Algorithm,K,DatasetSize,TrainingSize,Correct,TestSize,Accuracy,TrainingTime,TestTime
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,20,3000,1000,1864,2000,0.932,00:0024239,00:3347206
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,20,3000,1000,1862,2000,0.931,00:0004463,00:3345338
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,20,3000,1000,1862,2000,0.931,00:0002931,00:3254583
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,20,3000,1000,1866,2000,0.933,00:0000481,00:3322940
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,20,3000,1000,1860,2000,0.93,00:0002818,00:3246243
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,20,3000,1000,1861,2000,0.9305,00:0000423,00:3316562
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,20,3000,1000,1868,2000,0.934,00:0002844,00:3213210
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,20,3000,1000,1869,2000,0.9345,00:0000452,00:3338814
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,20,3000,1000,1864,2000,0.932,00:0002797,00:3208980
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,20,3000,1000,1864,2000,0.932,00:0000426,00:3311165
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,20,3000,1000,1876,2000,0.938,00:0002829,00:3232385
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,20,3000,1000,1875,2000,0.9375,00:0000419,00:3316865
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,20,3000,1000,1855,2000,0.9275,00:0002848,00:3236013
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,20,3000,1000,1853,2000,0.9265,00:0000433,00:3326813
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,20,3000,1000,1869,2000,0.9345,00:0002826,00:3222228
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,20,3000,1000,1862,2000,0.931,00:0000423,00:3309713
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,20,3000,1000,1867,2000,0.9335,00:0002877,00:3230773
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,20,3000,1000,1864,2000,0.932,00:0000426,00:3306683
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,20,3000,1000,1847,2000,0.9235,00:0002822,00:3215224
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,20,3000,1000,1850,2000,0.925,00:0000426,00:3351895
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,20,3000,1000,1864,2000,0.932,00:0002829,00:3207620
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,20,3000,1000,1866,2000,0.933,00:0000423,00:3314516
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,20,3000,1000,1860,2000,0.93,00:0002837,00:3223939
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,20,3000,1000,1862,2000,0.931,00:0000426,00:3307460
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,20,3000,1000,1861,2000,0.9305,00:0002840,00:3206639
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,20,3000,1000,1866,2000,0.933,00:0000430,00:3317904
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,20,3000,1000,1862,2000,0.931,00:0002811,00:3236808
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,20,3000,1000,1854,2000,0.927,00:0000430,00:3370085
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,20,3000,1000,1866,2000,0.933,00:0003227,00:3270095
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,20,3000,1000,1866,2000,0.933,00:0000452,00:3315843
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,20,3000,1000,1868,2000,0.934,00:0003041,00:3229052
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,20,3000,1000,1869,2000,0.9345,00:0000470,00:3315286
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,20,3000,1000,1866,2000,0.933,00:0002818,00:3212124
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,20,3000,1000,1871,2000,0.9355,00:0000463,00:3312321
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,20,3000,1000,1864,2000,0.932,00:0003176,00:3229438
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,20,3000,1000,1865,2000,0.9325,00:0000466,00:3301312
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,20,3000,1000,1856,2000,0.928,00:0002888,00:3209155
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,20,3000,1000,1863,2000,0.9315,00:0000463,00:3323706
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,20,3000,1000,1876,2000,0.938,00:0003209,00:3218213
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,20,3000,1000,1876,2000,0.938,00:0000474,00:3326721
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,20,3000,1000,1869,2000,0.9345,00:0003493,00:3221252
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,20,3000,1000,1871,2000,0.9355,00:0000466,00:3306581
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,20,3000,1000,1859,2000,0.9295,00:0002957,00:3217419
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,20,3000,1000,1863,2000,0.9315,00:0000452,00:3326412
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,20,3000,1000,1862,2000,0.931,00:0002928,00:3208214
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,20,3000,1000,1860,2000,0.93,00:0000463,00:3300822
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,20,3000,1000,1864,2000,0.932,00:0002888,00:3246698
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,20,3000,1000,1858,2000,0.929,00:0000499,00:3310293
