Path,Algorithm,K,DatasetSize,TrainingSize,Correct,TestSize,Accuracy,TrainingTime,TestTime
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,4,3000,500,2315,2500,0.926,00:0025847,00:1470937
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,4,3000,500,2315,2500,0.926,00:0008095,00:1409566
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,4,3000,500,2312,2500,0.9248,00:0001568,00:1362822
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,4,3000,500,2307,2500,0.9228,00:0000291,00:1351441
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,4,3000,500,2332,2500,0.9328,00:0001440,00:1364383
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,4,3000,500,2323,2500,0.9292,00:0000229,00:1369157
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,4,3000,500,2312,2500,0.9248,00:0001451,00:1351977
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,4,3000,500,2273,2500,0.9092,00:0000226,00:1370779
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,4,3000,500,2313,2500,0.9252,00:0001440,00:1358118
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,4,3000,500,2299,2500,0.9196,00:0000237,00:1362720
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,4,3000,500,2308,2500,0.9232,00:0002282,00:1352251
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,4,3000,500,2297,2500,0.9188,00:0000233,00:1376494
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,4,3000,500,2328,2500,0.9312,00:0001458,00:1340964
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,4,3000,500,2303,2500,0.9212,00:0000233,00:1383386
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,4,3000,500,2322,2500,0.9288,00:0001455,00:1365604
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,4,3000,500,2320,2500,0.928,00:0000269,00:1368340
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,4,3000,500,2327,2500,0.9308,00:0001469,00:1339053
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,4,3000,500,2312,2500,0.9248,00:0000237,00:1368383
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,4,3000,500,2314,2500,0.9256,00:0001480,00:1336515
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,4,3000,500,2296,2500,0.9184,00:0000229,00:1376589
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,4,3000,500,2309,2500,0.9236,00:0001447,00:1351908
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,4,3000,500,2278,2500,0.9112,00:0000284,00:1364372
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,4,3000,500,2306,2500,0.9224,00:0001436,00:1365853
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,4,3000,500,2298,2500,0.9192,00:0000240,00:1373948
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,4,3000,500,2309,2500,0.9236,00:0001455,00:1359401
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,4,3000,500,2313,2500,0.9252,00:0000233,00:1349971
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,4,3000,500,2312,2500,0.9248,00:0001560,00:1361170
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,4,3000,500,2301,2500,0.9204,00:0000233,00:1351134
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,4,3000,500,2326,2500,0.9304,00:0001546,00:1372639
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,4,3000,500,2309,2500,0.9236,00:0000273,00:1366750
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,4,3000,500,2315,2500,0.926,00:0001546,00:1348013
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,4,3000,500,2300,2500,0.92,00:0000554,00:1355714
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,4,3000,500,2314,2500,0.9256,00:0002698,00:1361973
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,4,3000,500,2302,2500,0.9208,00:0000291,00:1369015
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,4,3000,500,2312,2500,0.9248,00:0002093,00:1352228
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,4,3000,500,2306,2500,0.9224,00:0000536,00:1410926
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,4,3000,500,2316,2500,0.9264,00:0001527,00:1353819
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,4,3000,500,2307,2500,0.9228,00:0000277,00:1373437
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,4,3000,500,2315,2500,0.926,00:0001564,00:1343856
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,4,3000,500,2294,2500,0.9176,00:0000251,00:1394808
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,4,3000,500,2318,2500,0.9272,00:0001520,00:1342955
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,4,3000,500,2291,2500,0.9164,00:0000295,00:1407567
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,4,3000,500,2307,2500,0.9228,00:0001509,00:1395351
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,4,3000,500,2291,2500,0.9164,00:0000324,00:1375484
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,4,3000,500,2326,2500,0.9304,00:0001765,00:1381817
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,4,3000,500,2321,2500,0.9284,00:0000273,00:1396310
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,4,3000,500,2329,2500,0.9316,00:0001958,00:1407564
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,4,3000,500,2326,2500,0.9304,00:0000288,00:1377810
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,6,3000,500,2325,2500,0.93,00:0002807,00:1457313
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,6,3000,500,2317,2500,0.9268,00:0000277,00:1456893
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,6,3000,500,2310,2500,0.924,00:0002096,00:1441198
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,6,3000,500,2293,2500,0.9172,00:0000353,00:1475962
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,6,3000,500,2324,2500,0.9296,00:0001549,00:1440461
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,6,3000,500,2310,2500,0.924,00:0000324,00:1501941
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,6,3000,500,2318,2500,0.9272,00:0002224,00:1462042
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,6,3000,500,2312,2500,0.9248,00:0000269,00:1538040
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,6,3000,500,2333,2500,0.9332,00:0002319,00:1525754
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,6,3000,500,2333,2500,0.9332,00:0000280,00:1472322
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,6,3000,500,2324,2500,0.9296,00:0002581,00:1533423
../data/data.three_gauss.train.1000.csv,KNN.SimpleSolver,6,3000,500,2291,2500,0.9164,00:0000284,00:1501423
../data/data.three_gauss.train.1000.csv,KNN.MeanKnn,6,3000,500,2313,2500,0.9252,00:0001527,00:1528606
