Path,Algorithm,K,DatasetSize,TrainingSize,Correct,TestSize,Accuracy,TrainingTime,TestTime
../data/data.simple.train.1000.csv,KNN.MeanKnn,20,1000,100,840,900,0.9333333,00:0021442,00:0319077
../data/data.simple.train.1000.csv,KNN.SimpleSolver,20,1000,100,819,900,0.91,00:0004263,00:0270954
../data/data.simple.train.1000.csv,KNN.MeanKnn,20,1000,100,837,900,0.93,00:0000485,00:0265543
../data/data.simple.train.1000.csv,KNN.SimpleSolver,20,1000,100,838,900,0.9311111,00:0000149,00:0250398
../data/data.simple.train.1000.csv,KNN.MeanKnn,20,1000,100,821,900,0.9122222,00:0000350,00:0252265
../data/data.simple.train.1000.csv,KNN.SimpleSolver,20,1000,100,823,900,0.9144444,00:0000087,00:0253662
../data/data.simple.train.1000.csv,KNN.MeanKnn,20,1000,100,847,900,0.9411111,00:0000350,00:0253549
../data/data.simple.train.1000.csv,KNN.SimpleSolver,20,1000,100,860,900,0.9555556,00:0000069,00:0244680
../data/data.simple.train.1000.csv,KNN.MeanKnn,20,1000,100,819,900,0.91,00:0000350,00:0249125
../data/data.simple.train.1000.csv,KNN.SimpleSolver,20,1000,100,817,900,0.9077778,00:0000069,00:0251948
../data/data.simple.train.1000.csv,KNN.MeanKnn,20,1000,100,858,900,0.9533333,00:0000342,00:0262053
../data/data.simple.train.1000.csv,KNN.SimpleSolver,20,1000,100,851,900,0.9455556,00:0000065,00:0246037
../data/data.simple.train.1000.csv,KNN.MeanKnn,20,1000,100,848,900,0.9422222,00:0000353,00:0247087
../data/data.simple.train.1000.csv,KNN.SimpleSolver,20,1000,100,841,900,0.9344444,00:0000091,00:0244312
../data/data.simple.train.1000.csv,KNN.MeanKnn,20,1000,100,844,900,0.9377778,00:0000339,00:0252075
../data/data.simple.train.1000.csv,KNN.SimpleSolver,20,1000,100,856,900,0.9511111,00:0000080,00:0249154
../data/data.simple.train.1000.csv,KNN.MeanKnn,20,1000,100,842,900,0.9355556,00:0000342,00:0246690
../data/data.simple.train.1000.csv,KNN.SimpleSolver,20,1000,100,845,900,0.9388889,00:0000083,00:0248838
../data/data.simple.train.1000.csv,KNN.MeanKnn,20,1000,100,856,900,0.9511111,00:0000346,00:0253494
../data/data.simple.train.1000.csv,KNN.SimpleSolver,20,1000,100,849,900,0.9433333,00:0000076,00:0250989
../data/data.simple.train.1000.csv,KNN.MeanKnn,20,1000,100,846,900,0.94,00:0000346,00:0250358
../data/data.simple.train.1000.csv,KNN.SimpleSolver,20,1000,100,835,900,0.9277778,00:0000076,00:0246697
../data/data.simple.train.1000.csv,KNN.MeanKnn,20,1000,100,820,900,0.9111111,00:0000335,00:0249264
../data/data.simple.train.1000.csv,KNN.SimpleSolver,20,1000,100,793,900,0.8811111,00:0000083,00:0246595
../data/data.simple.train.1000.csv,KNN.MeanKnn,20,1000,100,847,900,0.9411111,00:0000674,00:0246168
../data/data.simple.train.1000.csv,KNN.SimpleSolver,20,1000,100,825,900,0.9166667,00:0000065,00:0247853
../data/data.simple.train.1000.csv,KNN.MeanKnn,20,1000,100,785,900,0.8722222,00:0000495,00:0249852
../data/data.simple.train.1000.csv,KNN.SimpleSolver,20,1000,100,781,900,0.8677778,00:0000091,00:0251116
../data/data.simple.train.1000.csv,KNN.MeanKnn,20,1000,100,855,900,0.95,00:0000328,00:0248217
../data/data.simple.train.1000.csv,KNN.SimpleSolver,20,1000,100,860,900,0.9555556,00:0000102,00:0243465
../data/data.simple.train.1000.csv,KNN.MeanKnn,20,1000,100,825,900,0.9166667,00:0000361,00:0245657
../data/data.simple.train.1000.csv,KNN.SimpleSolver,20,1000,100,828,900,0.92,00:0000069,00:0245420
../data/data.simple.train.1000.csv,KNN.MeanKnn,20,1000,100,845,900,0.9388889,00:0000368,00:0244494
../data/data.simple.train.1000.csv,KNN.SimpleSolver,20,1000,100,836,900,0.9288889,00:0000069,00:0247386
../data/data.simple.train.1000.csv,KNN.MeanKnn,20,1000,100,835,900,0.9277778,00:0000397,00:0244089
../data/data.simple.train.1000.csv,KNN.SimpleSolver,20,1000,100,850,900,0.9444444,00:0000061,00:0245702
../data/data.simple.train.1000.csv,KNN.MeanKnn,20,1000,100,835,900,0.9277778,00:0000331,00:0250125
../data/data.simple.train.1000.csv,KNN.SimpleSolver,20,1000,100,839,900,0.9322222,00:0000069,00:0248363
../data/data.simple.train.1000.csv,KNN.MeanKnn,20,1000,100,844,900,0.9377778,00:0000328,00:0248173
../data/data.simple.train.1000.csv,KNN.SimpleSolver,20,1000,100,856,900,0.9511111,00:0000065,00:0249086
../data/data.simple.train.1000.csv,KNN.MeanKnn,20,1000,100,814,900,0.9044445,00:0000331,00:0247926
../data/data.simple.train.1000.csv,KNN.SimpleSolver,20,1000,100,809,900,0.8988889,00:0000069,00:0246478
../data/data.simple.train.1000.csv,KNN.MeanKnn,20,1000,100,865,900,0.9611111,00:0000346,00:0252758
../data/data.simple.train.1000.csv,KNN.SimpleSolver,20,1000,100,867,900,0.9633333,00:0000080,00:0245902
../data/data.simple.train.1000.csv,KNN.MeanKnn,20,1000,100,837,900,0.93,00:0000339,00:0247856
../data/data.simple.train.1000.csv,KNN.SimpleSolver,20,1000,100,812,900,0.9022222,00:0000080,00:0245683
../data/data.simple.train.1000.csv,KNN.MeanKnn,20,1000,100,848,900,0.9422222,00:0000485,00:0251054
../data/data.simple.train.1000.csv,KNN.SimpleSolver,20,1000,100,844,900,0.9377778,00:0000083,00:0253987
